bpm,temp,Oxyg,motion,State
107.3,37.21,97,1.9,Post-Workout
98.9,36.98,97,5.1,Walking
39.7,35.76,83.9,0.6,Unconscious
118.9,36.92,91.6,9.3,Seizure
96.5,36.92,97.6,5.7,Walking
58.2,36.33,97.6,0.2,Sleeping
95.6,37.05,96.7,5.7,Walking
59.8,36.7,97.3,0.6,Meditation
99.8,37.18,98.4,2.2,Post-Workout
90.7,36.86,98.1,5.4,Walking
106.5,37.37,96.9,1.9,Post-Workout
44.7,36.19,90.1,0.5,Fainting
44.1,35.91,87.1,0.5,Unconscious
68.1,36.76,97.3,1.9,Awake/Idle
94.1,36.9,97.1,5.1,Walking
91.7,36.97,97.8,5,Walking
62.1,36.75,97.8,0.4,Meditation
142.1,37.58,94.8,8.7,Running
56,36.36,97.4,0.5,Sleeping
43.6,35.61,84.5,0.4,Unconscious
113.8,36.84,94.6,3.4,Stress/Panic
113.9,36.84,94.5,4,Stress/Panic
57.3,36.7,97.8,0.8,Meditation
57.2,36.26,97.4,0.3,Sleeping
105.5,37.25,97.5,2.2,Post-Workout
74.1,36.83,97.8,1.9,Awake/Idle
58.4,36.71,98,0.4,Meditation
56.4,36.31,98.2,0.4,Sleeping
102.5,37.21,97.3,2,Post-Workout
58.3,36.66,97.8,0.6,Meditation
119.7,36.92,91.4,9.5,Seizure
77.2,36.43,79.7,0.8,Hypoxia
102.9,37.3,97.9,1.6,Post-Workout
76.5,36.48,81.8,1.1,Hypoxia
127.2,37.02,91.5,9.6,Seizure
44,35.84,89.8,0.6,Fainting
40.8,36.1,90.1,0.3,Fainting
77.9,36.53,78.8,1,Hypoxia
82.8,36.64,81.6,0.8,Hypoxia
140,37.48,94.6,9.1,Running
112.7,36.87,94,3.5,Stress/Panic
44.8,35.91,90,0.4,Fainting
95,37.03,97,5.2,Walking
101.6,37.3,97.2,1.8,Post-Workout
119.5,36.81,94.9,3.7,Stress/Panic
114.4,36.96,91.1,9.6,Seizure
68.4,36.8,97.4,2,Awake/Idle
43.9,35.91,92.1,0.1,Fainting
82.1,36.72,82.6,1,Hypoxia
83.3,36.45,79.7,1.3,Hypoxia
117.8,37.11,92.3,9.4,Seizure
79.7,36.54,79,1.1,Hypoxia
68.9,36.74,98.2,2,Awake/Idle
40,35.89,86.3,0.7,Unconscious
78.1,36.42,78.7,1.1,Hypoxia
107.5,37.23,97.1,1.9,Post-Workout
113.8,36.9,92.6,9.5,Seizure
54.9,36.4,97.8,0.5,Sleeping
97.2,36.86,96.8,5.4,Walking
148.7,37.48,94.6,8.9,Running
122.2,36.89,90.2,9.3,Seizure
55.9,36.54,97,0.4,Sleeping
43.9,35.59,85.4,0.7,Unconscious
107,36.98,90.1,9.6,Seizure
116.6,36.94,92.4,9.4,Seizure
60.6,36.67,98.3,0.5,Meditation
80.7,36.55,82,1.2,Hypoxia
151.9,37.62,95.1,9,Running
112.9,37.19,90.8,9.5,Seizure
108.9,36.84,94.1,3.6,Stress/Panic
43.6,35.79,84,0.5,Unconscious
94.3,36.92,98,5.3,Walking
67.7,36.73,97.9,1.8,Awake/Idle
120.3,36.97,91.3,9.6,Seizure
148.9,37.5,94.3,9,Running
58.3,36.37,98,0.6,Sleeping
102.6,37.26,97.9,2.3,Post-Workout
104,37.25,98.4,1.8,Post-Workout
143.9,37.46,94.4,9,Running
64.4,36.67,97.8,0.3,Meditation
161.8,37.51,93.4,9.4,Running
99.4,37.27,97.2,2.1,Post-Workout
60.6,36.72,98.5,0.7,Meditation
72,36.7,97.8,2.1,Awake/Idle
42.6,35.96,90.6,0.2,Fainting
70,36.74,97.3,2.2,Awake/Idle
100.9,37.29,97.5,2.4,Post-Workout
96.8,36.99,96.7,5.7,Walking
79.8,36.52,83.9,0.4,Hypoxia
111.9,36.79,94.3,4,Stress/Panic
96,36.96,98.3,5.2,Walking
73.6,36.78,98.5,1.6,Awake/Idle
158.2,37.47,95.2,9,Running
40.8,35.88,85.5,0.5,Unconscious
59.3,36.68,98.5,0.5,Meditation
77.1,36.33,81.2,0.9,Hypoxia
109.5,37.29,97.7,1.9,Post-Workout
58.6,36.74,97.4,0.4,Meditation
77.3,36.32,79.7,1,Hypoxia
105.3,37.24,98.2,2.2,Post-Workout
58.7,36.75,97.3,0.3,Meditation
74.1,36.78,97.4,1.9,Awake/Idle
144.9,37.44,95.2,8.5,Running
112.8,36.87,95.1,4,Stress/Panic
116.2,36.82,95.1,3.6,Stress/Panic
149.1,37.49,95.9,9.6,Running
57,36.31,97.6,0.5,Sleeping
42.1,35.91,85.6,0.5,Unconscious
74.1,36.55,77.4,1.1,Hypoxia
102.5,37.21,97,2.2,Post-Workout
50.1,35.93,90.2,0.6,Fainting
57.5,36.31,97.6,0.5,Sleeping
61.9,36.7,97.3,0.5,Meditation
151,37.61,94.6,8.9,Running
37.3,35.75,84.3,0.6,Unconscious
60.5,36.69,97.3,0.3,Meditation
80.1,36.62,79,1,Hypoxia
80.6,36.52,77.6,0.9,Hypoxia
55.7,36.34,97.3,0.3,Sleeping
49.3,35.85,90.4,0.6,Fainting
121,36.94,94.5,4.2,Stress/Panic
121.6,37.04,92.7,9.5,Seizure
43,35.83,85.7,0.3,Unconscious
103,37.29,97.2,1.8,Post-Workout
104.4,37.18,97.4,1.9,Post-Workout
63.4,36.75,97.6,0.2,Meditation
91.5,37.03,98.5,5.2,Walking
58.3,36.71,97.6,0.7,Meditation
96.7,36.96,97.6,5.5,Walking
35.7,35.72,83.7,0.5,Unconscious
96.5,36.88,97.4,5.3,Walking
68.6,36.73,97.6,2,Awake/Idle
144.6,37.58,94.2,8.9,Running
108.7,36.79,94.3,3.5,Stress/Panic
155.5,37.56,95.9,9,Running
58.7,36.29,96.9,0.3,Sleeping
147.1,37.48,94.5,9.1,Running
72.5,36.43,81,0.7,Hypoxia
56.3,36.4,97.3,0.5,Sleeping
41.7,36.03,84.2,0.7,Unconscious
82.2,36.57,81,1.2,Hypoxia
66,36.8,97.2,2.1,Awake/Idle
146.2,37.6,94.6,8.7,Running
149.2,37.51,95.3,8.5,Running
112.7,36.83,94,3,Stress/Panic
55.8,36.17,97.1,0.3,Sleeping
103.8,37.27,98.3,2.2,Post-Workout
79.7,36.5,82,0.6,Hypoxia
104.4,37.27,98.3,2.2,Post-Workout
106.5,37.26,97.6,2.3,Post-Workout
120.4,36.95,92.2,9.6,Seizure
99.3,37,97.5,5.4,Walking
152.8,37.49,95.6,9.2,Running
82.2,36.59,79.2,1,Hypoxia
69.2,36.68,98,2.2,Awake/Idle
101.8,37.3,96.8,1.8,Post-Workout
150.3,37.45,95.7,8.7,Running
104.7,37.22,97.4,2.4,Post-Workout
70.2,36.45,81.3,0.5,Hypoxia
54.4,36.37,97.6,0.6,Sleeping
151.3,37.41,94.8,9.2,Running
119.6,36.83,90.7,9.7,Seizure
77.8,36.54,79.7,1.2,Hypoxia
101.2,36.94,97.3,5.5,Walking
60,36.66,96.9,0.3,Meditation
115.4,36.9,91.2,9.6,Seizure
116.7,36.9,94.5,3.4,Stress/Panic
111.8,36.9,94.6,3,Stress/Panic
72,36.77,98.2,2.3,Awake/Idle
96.9,37,96.7,5.6,Walking
43.5,35.98,91.6,0.2,Fainting
94.1,37.03,97.6,6,Walking
80.9,36.33,82,0.6,Hypoxia
56.3,36.3,96.9,0.4,Sleeping
59.6,36.44,96.8,0.3,Sleeping
151.1,37.51,94.3,9.3,Running
95.3,37.03,97.2,5.4,Walking
96.9,36.97,97.6,5.4,Walking
96.8,36.89,98,5.4,Walking
85.6,36.51,77.9,1,Hypoxia
102.9,37.2,97.9,1.8,Post-Workout
115.4,36.84,94.8,3.6,Stress/Panic
99.9,36.94,97.6,5.7,Walking
79.8,36.47,80.1,0.8,Hypoxia
58.4,36.36,97.5,0.7,Sleeping
67.6,36.7,97,2.2,Awake/Idle
39,35.7,84,0.3,Unconscious
104.3,37.24,97.4,2.2,Post-Workout
42.3,35.94,84.5,0.7,Unconscious
56.4,36.46,97.5,0.4,Sleeping
105.8,37.25,97.7,2.6,Post-Workout
117.7,36.96,91.1,9.4,Seizure
72.6,36.74,97.9,2.3,Awake/Idle
156.1,37.43,96.3,9.1,Running
118.9,37,91.3,9.3,Seizure
112.5,36.89,94.7,3.9,Stress/Panic
97.1,36.86,97.7,5.4,Walking
68.5,36.69,97.1,1.6,Awake/Idle
77.6,36.47,80.8,1.3,Hypoxia
58.4,36.74,97.9,0.6,Meditation
92.9,36.93,98,5.8,Walking
108.4,37.23,97.3,2.1,Post-Workout
79.3,36.52,77.3,1.4,Hypoxia
114.9,36.82,93.9,3.5,Stress/Panic
102.1,37.2,98.5,2.3,Post-Workout
59.1,36.37,97.5,0.5,Sleeping
38.7,35.58,87.3,0.6,Unconscious
92.4,36.95,97.7,6.2,Walking
119.6,36.91,94.4,3.2,Stress/Panic
45.5,35.96,90.9,0.6,Fainting
113.8,36.91,94.4,2.8,Stress/Panic
41.8,35.8,85,0.6,Unconscious
93.3,36.94,97.5,5.4,Walking
94.2,37,98,5.2,Walking
56.2,36.25,97.1,0.4,Sleeping
42,36.12,88.9,0.4,Fainting
40.8,35.44,83.7,0.6,Unconscious
70.2,36.63,78.7,1.5,Hypoxia
106.5,37.27,96.2,1.9,Post-Workout
40.1,35.89,83.6,0.7,Unconscious
77.6,36.44,81.1,0.7,Hypoxia
117.8,36.99,91.2,9.3,Seizure
127.1,36.89,91.5,9.5,Seizure
147.9,37.58,95.3,8.7,Running
58.5,36.69,97.5,0.6,Meditation
102.6,37.15,97.9,1.7,Post-Workout
155.2,37.61,94.1,8.6,Running
157,37.56,94.6,9.4,Running
46.8,35.85,88.8,0.6,Fainting
72.8,36.76,97,2.2,Awake/Idle
52.2,36.01,90.1,0.7,Fainting
137.2,37.54,95.4,9.2,Running
111.6,36.75,94.8,3.6,Stress/Panic
39.9,36.02,83.6,0.6,Unconscious
70.1,36.8,96.8,1.8,Awake/Idle
58.3,36.27,97.8,0.6,Sleeping
147.2,37.53,93.9,9.3,Running
68,36.77,97.5,2.1,Awake/Idle
44.4,35.89,91.6,0.5,Fainting
151.2,37.51,94.8,8.6,Running
54.5,36.29,96.7,0.5,Sleeping
148.6,37.43,94.7,9.4,Running
96.4,36.95,97.8,5.8,Walking
74.9,36.7,78.8,0.5,Hypoxia
104.9,37.03,90.3,9.5,Seizure
103.1,37.24,96.3,1.8,Post-Workout
45.3,35.69,82.8,0.6,Unconscious
70.6,36.7,97.4,1.9,Awake/Idle
67.9,36.67,97.9,2.2,Awake/Idle
97,37.02,97.1,5.6,Walking
81.5,36.49,78.9,1.1,Hypoxia
59.2,36.73,98.2,0.5,Meditation
62.6,36.72,97.7,0.4,Meditation
117.7,36.91,95.2,3,Stress/Panic
59.5,36.7,97.2,0.6,Meditation
88.6,36.99,97.3,5.5,Walking
141.8,37.44,94.5,8.7,Running
57.9,36.73,97.6,0.6,Meditation
77.1,36.65,83.1,0.8,Hypoxia
42.9,36,90.8,0.6,Fainting
56.6,36.37,97.6,0.6,Sleeping
97.4,36.85,98.1,5.9,Walking
107.9,37.26,97.5,2.4,Post-Workout
47.3,35.97,89.1,0.4,Fainting
93.1,36.97,97.8,5.2,Walking
45.3,36.08,90.5,0.4,Fainting
56.6,36.3,97.7,0.8,Sleeping
44.8,35.99,88,0.7,Fainting
114.2,37.01,94.4,4,Stress/Panic
58,36.63,97.8,0.6,Meditation
93.6,36.98,98.2,5,Walking
71.3,36.72,97.6,1.6,Awake/Idle
46.5,35.95,90.6,0.3,Fainting
49.4,35.97,90.2,0.7,Fainting
42.9,35.86,85.5,0.7,Unconscious
136.4,37.53,94.7,8.8,Running
47.9,36.07,90,0.6,Fainting
74.6,36.78,98.5,2.1,Awake/Idle
116,36.84,95,3.5,Stress/Panic
114.9,36.83,95.1,4.1,Stress/Panic
42.9,35.99,90.7,0.6,Fainting
92.3,36.91,98,5.5,Walking
150.2,37.47,94.6,8.7,Running
34.7,35.7,86.3,0.3,Unconscious
41.1,35.66,85.4,0.3,Unconscious
105.5,37.25,97,2.2,Post-Workout
86,36.55,82.3,1.3,Hypoxia
68.8,36.79,97.7,2.3,Awake/Idle
111.7,36.87,94.7,4.1,Stress/Panic
60.8,36.29,97.5,0.5,Sleeping
67,36.71,97.9,1.7,Awake/Idle
58.4,36.31,97.6,0.7,Sleeping
57.7,36.7,96.5,0.3,Meditation
47.5,36.15,90.5,0.4,Fainting
60.3,36.52,98.2,0.6,Sleeping
112,36.95,94.1,3.3,Stress/Panic
101.3,37.25,98.1,1.8,Post-Workout
70,36.76,97.3,2.4,Awake/Idle
41.8,35.6,84.2,0.3,Unconscious
60.3,36.73,97.9,0.7,Meditation
117,36.87,93.8,4,Stress/Panic
91.3,37.08,97.8,6,Walking
58,36.69,97.3,0.5,Meditation
112.7,36.79,93.6,3.9,Stress/Panic
150,37.46,93.8,9,Running
142,37.46,95.3,9,Running
98.4,37.21,97.8,1.6,Post-Workout
60.7,36.73,97.7,0.5,Meditation
72.3,36.75,98.1,2.3,Awake/Idle
104.4,37.3,97.1,1.6,Post-Workout
55.6,36.3,97.5,0.4,Sleeping
60.1,36.7,97.6,0.5,Meditation
61.2,36.74,97.9,0.6,Meditation
80.4,36.49,81.7,0.9,Hypoxia
46.9,35.85,88.7,0.7,Fainting
117.3,36.78,94.1,3.3,Stress/Panic
59.9,36.71,97.1,0.7,Meditation
112.2,36.84,93.9,3.4,Stress/Panic
78.7,36.5,81.9,1.5,Hypoxia
144,37.53,95.8,9,Running
38.5,35.7,86.2,0.8,Unconscious
147.8,37.49,95.6,8.9,Running
60.5,36.32,97.4,0.4,Sleeping
66.4,36.75,97.8,2.4,Awake/Idle
103.3,37.28,96.6,1.5,Post-Workout
58.7,36.39,98,0.5,Sleeping
59.1,36.36,97.5,0.9,Sleeping
69.8,36.76,97.2,2.3,Awake/Idle
78.4,36.55,78.3,1.2,Hypoxia
107,37.29,97.3,1.7,Post-Workout
94.5,36.96,98.4,5.8,Walking
41.8,35.81,87.3,0.7,Unconscious
59,36.36,97.4,0.5,Sleeping
93.1,36.97,96.5,5.8,Walking
47.7,35.83,90.3,0.3,Fainting
94.6,36.91,97.1,5.4,Walking
68.7,36.7,97.1,2.4,Awake/Idle
59.7,36.39,97.5,0.7,Sleeping
117.7,36.92,90.7,9.6,Seizure
